date,id,team_won,team_lost,score_won,score_lost
2022-11-06 00:00:00,2359822,Outsiders,16,12,Ninjas in Pyjamas
2022-11-06 00:00:00,2359821,Heroic,16,2,fnatic
2022-11-06 00:00:00,2359819,FURIA,16,13,Spirit
2022-11-06 00:00:00,2359818,Cloud9,16,14,Natus Vincere
2022-11-06 00:00:00,2359817,Vitality,16,6,FaZe
2022-11-05 00:00:00,2359816,BIG,16,7,MOUZ
2022-11-05 00:00:00,2359813,FURIA,16,6,ENCE
2022-11-05 00:00:00,2359814,fnatic,16,13,Ninjas in Pyjamas
2022-11-05 00:00:00,2359811,Natus Vincere,25,21,Vitality
2022-11-05 00:00:00,2359812,Heroic,16,9,Outsiders
2022-11-05 00:00:00,2359809,Cloud9,16,14,FaZe
2022-11-05 00:00:00,2359807,MOUZ,16,2,Liquid
2022-11-03 00:00:00,2359804,Vitality,2,1,OG
2022-11-02 00:00:00,2359801,Outsiders,2,0,fnatic
2022-11-02 00:00:00,2359796,Cloud9,2,0,Imperial
2022-11-01 00:00:00,2359795,MOUZ,2,1,fnatic
2022-11-01 00:00:00,2359792,FURIA,19,16,OG
2022-11-01 00:00:00,2359791,Outsiders,16,12,Vitality
2022-11-01 00:00:00,2359788,fnatic,16,13,OG
2022-10-31 00:00:00,2359615,fnatic,19,17,Cloud9
2022-10-31 00:00:00,2359614,Vitality,16,9,Imperial
2022-10-31 00:00:00,2359612,BIG,19,16,FURIA
2022-10-31 00:00:00,2359608,MOUZ,16,6,Outsiders
2022-10-23 00:00:00,2359386,Heroic,2,0,Astralis
2022-10-21 00:00:00,2359384,Astralis,2,1,Vitality
2022-10-19 00:00:00,2359381,Astralis,2,1,Eternal Fire
2022-10-16 00:00:00,2359555,Outsiders,2,0,ENCE
2022-10-16 00:00:00,2359554,Outsiders,2,1,MOUZ
2022-10-14 00:00:00,2359548,MOUZ,16,8,Movistar Riders
2022-10-14 00:00:00,2359547,ENCE,16,14,Outsiders
2022-10-09 00:00:00,2359367,Heroic,2,1,OG
2022-10-09 00:00:00,2359365,Spirit,2,1,Cloud9
2022-10-09 00:00:00,2359366,Heroic,2,1,Vitality
2022-10-08 00:00:00,2358443,OG,2,1,Outsiders
2022-10-08 00:00:00,2358441,Vitality,2,1,MOUZ
2022-10-08 00:00:00,2358442,Heroic,2,0,BIG
2022-10-07 00:00:00,2358438,fnatic,2,0,Eternal Fire
2022-10-07 00:00:00,2358432,ENCE,2,0,BIG
2022-10-06 00:00:00,2358431,Natus Vincere,2,0,Outsiders
2022-10-06 00:00:00,2358369,Liquid,2,1,Complexity
2022-10-06 00:00:00,2358423,Ninjas in Pyjamas,2,1,Cloud9
2022-10-05 00:00:00,2358417,Natus Vincere,16,11,MOUZ
2022-10-05 00:00:00,2358418,Outsiders,16,12,Heroic
2022-10-05 00:00:00,2358415,BIG,16,10,Vitality
2022-10-05 00:00:00,2358409,Cloud9,16,13,G2
2022-10-05 00:00:00,2358407,FaZe,19,17,fnatic
2022-10-05 00:00:00,2358405,Astralis,16,9,Eternal Fire
2022-10-04 00:00:00,2358402,MOUZ,16,10,OG
2022-10-04 00:00:00,2358389,Ninjas in Pyjamas,16,12,Astralis
2022-10-03 00:00:00,2358335,Vitality,3,2,Liquid
2022-10-01 00:00:00,2358334,Vitality,2,0,G2
2022-10-01 00:00:00,2358333,Liquid,2,1,Cloud9
2022-09-30 00:00:00,2358331,G2,2,1,Natus Vincere
2022-09-30 00:00:00,2358332,Vitality,2,0,Outsiders
2022-09-29 00:00:00,2358329,Cloud9,2,1,FaZe
2022-09-29 00:00:00,2358330,Liquid,2,0,MOUZ
2022-09-29 00:00:00,2358327,Natus Vincere,2,1,Heroic
2022-09-28 00:00:00,2358328,Outsiders,2,1,FURIA
2022-09-27 00:00:00,2358325,FaZe,2,1,Complexity
2022-09-25 00:00:00,2357750,Liquid,2,0,Cloud9
2022-09-24 00:00:00,2357749,Cloud9,2,0,FURIA
2022-09-23 00:00:00,2357746,FURIA,2,1,Liquid
2022-09-23 00:00:00,2357744,Cloud9,2,0,Movistar Riders
2022-09-22 00:00:00,2357742,FURIA,2,0,Movistar Riders
2022-09-22 00:00:00,2357740,Liquid,2,1,Movistar Riders
2022-09-18 00:00:00,2357735,Heroic,2,1,Astralis
2022-09-17 00:00:00,2357734,Astralis,2,0,ENCE
2022-09-16 00:00:00,2357731,MOUZ,2,0,ENCE
2022-09-15 00:00:00,2357728,Heroic,2,0,ENCE
2022-09-15 00:00:00,2357726,Astralis,2,0,MOUZ
2022-09-14 00:00:00,2357723,MOUZ,2,0,Heroic
2022-09-11 00:00:00,2357722,FaZe,2,0,BIG
2022-09-11 00:00:00,2357721,G2,2,0,Outsiders
2022-09-10 00:00:00,2357719,G2,2,0,FaZe
2022-09-09 00:00:00,2357716,FaZe,2,1,Outsiders
2022-09-08 00:00:00,2357712,G2,2,0,BIG
2022-09-07 00:00:00,2357709,Outsiders,2,0,BIG
2022-09-04 00:00:00,2357705,Ninjas in Pyjamas,2,1,Natus Vincere
2022-09-04 00:00:00,2357706,Vitality,2,0,Spirit
2022-09-03 00:00:00,2357704,Vitality,2,1,Natus Vincere
2022-09-02 00:00:00,2357700,Spirit,2,0,Ninjas in Pyjamas
2022-09-01 00:00:00,2357698,Vitality,2,0,Ninjas in Pyjamas
2022-08-31 00:00:00,2357693,Natus Vincere,2,0,Spirit
2022-08-29 00:00:00,2357669,G2,2,1,Vitality
2022-08-28 00:00:00,2357668,Ninjas in Pyjamas,2,1,Heroic
2022-08-28 00:00:00,2357667,FaZe,2,1,Astralis
2022-08-27 00:00:00,2357665,Natus Vincere,2,0,Vitality
2022-08-27 00:00:00,2357666,Liquid,2,0,Heroic
2022-08-27 00:00:00,2357664,OG,2,0,Astralis
2022-08-26 00:00:00,2357662,Vitality,2,1,G2
2022-08-26 00:00:00,2357663,Liquid,2,0,Ninjas in Pyjamas
2022-08-26 00:00:00,2357661,OG,2,1,FaZe
2022-08-25 00:00:00,2357659,G2,2,0,BIG
2022-08-21 00:00:00,2357657,Heroic,16,10,FaZe
2022-08-21 00:00:00,2357654,Heroic,16,14,BIG
2022-08-21 00:00:00,2357648,FaZe,16,10,Heroic
2022-08-21 00:00:00,2357645,Heroic,16,13,BIG
2022-08-20 00:00:00,2357656,Natus Vincere,16,4,Liquid
2022-08-20 00:00:00,2357650,Natus Vincere,16,14,G2
2022-08-20 00:00:00,2357644,Liquid,16,12,G2
2022-08-19 00:00:00,2357655,Astralis,19,17,Vitality
2022-08-19 00:00:00,2357652,Astralis,16,9,Ninjas in Pyjamas
2022-08-19 00:00:00,2357649,Astralis,16,9,OG
2022-08-19 00:00:00,2357646,Vitality,16,12,Ninjas in Pyjamas
2022-08-19 00:00:00,2357643,Ninjas in Pyjamas,16,10,Astralis
2022-08-19 00:00:00,2357640,Vitality,16,11,OG
2022-08-13 00:00:00,2357793,FaZe,2,0,OG
2022-07-17 00:00:00,2357152,FaZe,3,2,Natus Vincere
2022-07-16 00:00:00,2357151,FaZe,2,0,Movistar Riders
2022-07-16 00:00:00,2357150,Natus Vincere,2,0,Astralis
2022-07-16 00:00:00,2357149,Movistar Riders,2,1,Liquid
2022-07-15 00:00:00,2357148,Astralis,2,1,MOUZ
2022-07-10 00:00:00,2357146,Liquid,2,0,FURIA
2022-07-10 00:00:00,2357147,FaZe,2,0,Astralis
2022-07-10 00:00:00,2357145,Natus Vincere,2,1,Movistar Riders
2022-07-10 00:00:00,2357144,MOUZ,2,1,Ninjas in Pyjamas
2022-07-10 00:00:00,2357143,FURIA,2,1,Spirit
2022-07-10 00:00:00,2357142,Liquid,2,0,Cloud9
2022-07-10 00:00:00,2357141,Ninjas in Pyjamas,2,1,G2
2022-07-09 00:00:00,2357140,MOUZ,2,1,Vitality
2022-07-09 00:00:00,2357138,FaZe,2,0,Spirit
2022-07-09 00:00:00,2357139,Astralis,2,0,Cloud9
2022-07-09 00:00:00,2357137,FURIA,2,0,Outsiders
2022-07-08 00:00:00,2357134,Movistar Riders,2,1,Vitality
2022-07-08 00:00:00,2357135,G2,2,0,ENCE
2022-07-08 00:00:00,2357133,MOUZ,2,0,Heroic
2022-07-08 00:00:00,2357132,Natus Vincere,2,0,Ninjas in Pyjamas
2022-07-08 00:00:00,2357131,Astralis,2,0,FURIA
2022-07-07 00:00:00,2357129,Spirit,2,1,Liquid
2022-07-07 00:00:00,2357128,Cloud9,2,0,Outsiders
2022-07-07 00:00:00,2357126,Natus Vincere,2,1,MOUZ
2022-07-07 00:00:00,2357127,Vitality,2,1,ENCE
2022-07-07 00:00:00,2357125,Ninjas in Pyjamas,2,0,Heroic
2022-07-07 00:00:00,2357124,Movistar Riders,2,0,G2
2022-07-06 00:00:00,2357030,Astralis,2,1,BIG
2022-07-05 00:00:00,2357024,Movistar Riders,2,0,Vitality
2022-07-05 00:00:00,2357023,Outsiders,2,0,BIG
2022-07-05 00:00:00,2357021,Heroic,2,1,MOUZ
2022-07-05 00:00:00,2357018,Movistar Riders,16,13,MIBR
2022-07-05 00:00:00,2357016,Outsiders,16,6,Imperial
2022-07-03 00:00:00,2357167,Movistar Riders,2,1,Outsiders
2022-07-01 00:00:00,2357159,Movistar Riders,16,3,MIBR
2022-06-30 00:00:00,2356891,BIG,2,1,FaZe
2022-06-29 00:00:00,2356890,FaZe,2,1,Astralis
2022-06-29 00:00:00,2356889,BIG,2,0,Cloud9
2022-06-28 00:00:00,2356888,Astralis,2,0,forZe
2022-06-28 00:00:00,2356887,FaZe,2,0,ENCE
2022-06-26 00:00:00,2356881,FaZe,2,1,OG
2022-06-25 00:00:00,2356880,FURIA,2,0,Outsiders
2022-06-24 00:00:00,2356875,ENCE,2,1,MOUZ
2022-06-24 00:00:00,2356873,BIG,2,1,FaZe
2022-06-24 00:00:00,2356874,Cloud9,2,0,Astralis
2022-06-23 00:00:00,2356871,MOUZ,2,0,Imperial
2022-06-23 00:00:00,2356866,Astralis,2,0,Movistar Riders
2022-06-22 00:00:00,2356867,FaZe,2,0,OG
2022-06-19 00:00:00,2356644,Natus Vincere,2,0,Vitality
2022-06-19 00:00:00,2356642,Vitality,2,1,G2
2022-06-17 00:00:00,2356640,Vitality,2,0,ENCE
2022-06-17 00:00:00,2356641,Natus Vincere,2,0,FaZe
2022-06-16 00:00:00,2356638,Natus Vincere,2,0,BIG
2022-06-16 00:00:00,2356637,G2,2,1,FaZe
2022-06-15 00:00:00,2356635,ENCE,2,0,BIG
2022-06-15 00:00:00,2356633,G2,2,1,Vitality
2022-06-11 00:00:00,2356693,Heroic,2,0,Astralis
2022-06-11 00:00:00,2356676,Ninjas in Pyjamas,2,1,MOUZ
2022-06-11 00:00:00,2356692,Heroic,2,0,BIG
2022-06-10 00:00:00,2356691,Astralis,2,0,BIG
2022-06-10 00:00:00,2356675,MOUZ,2,0,Movistar Riders
2022-06-09 00:00:00,2356687,Astralis,2,1,Imperial
2022-06-05 00:00:00,2356303,Cloud9,3,0,ENCE
2022-06-05 00:00:00,2356302,Cloud9,2,1,BIG
2022-06-04 00:00:00,2356301,ENCE,2,0,FURIA
2022-06-04 00:00:00,2356300,Cloud9,2,1,FaZe
2022-06-03 00:00:00,2356299,FURIA,2,1,G2
2022-06-02 00:00:00,2356297,BIG,2,1,FURIA
2022-06-02 00:00:00,2356298,Cloud9,2,0,Liquid
2022-06-02 00:00:00,2356296,ENCE,2,1,FaZe
2022-06-01 00:00:00,2356295,G2,2,0,Vitality
2022-06-01 00:00:00,2356293,Cloud9,2,0,Ninjas in Pyjamas
2022-06-01 00:00:00,2356292,G2,2,1,Astralis
2022-05-31 00:00:00,2356289,FURIA,2,0,Cloud9
2022-05-31 00:00:00,2356288,Liquid,2,0,Imperial
2022-05-31 00:00:00,2356285,FaZe,2,0,Vitality
2022-05-31 00:00:00,2356283,ENCE,2,0,G2
2022-05-30 00:00:00,2356281,BIG,16,10,Ninjas in Pyjamas
2022-05-30 00:00:00,2356280,Cloud9,16,6,Liquid
2022-05-30 00:00:00,2356279,FURIA,16,9,Imperial
2022-05-30 00:00:00,2356278,Vitality,16,12,Astralis
2022-05-30 00:00:00,2356276,ENCE,16,9,MOUZ
2022-05-30 00:00:00,2356275,G2,16,5,Movistar Riders
2022-05-22 00:00:00,2356169,FaZe,2,0,Natus Vincere
2022-05-21 00:00:00,2356168,Natus Vincere,2,0,ENCE
2022-05-21 00:00:00,2356167,FaZe,2,0,Spirit
2022-05-20 00:00:00,2356166,Natus Vincere,2,1,Heroic
2022-05-20 00:00:00,2356165,ENCE,2,0,Copenhagen Flames
2022-05-19 00:00:00,2356164,Spirit,2,0,FURIA
2022-05-19 00:00:00,2356163,FaZe,2,1,Ninjas in Pyjamas
2022-05-17 00:00:00,2356162,Copenhagen Flames,2,0,Imperial
2022-05-17 00:00:00,2356161,FURIA,2,1,G2
2022-05-17 00:00:00,2356160,Heroic,2,1,Vitality
2022-05-17 00:00:00,2356159,Imperial,2,1,Cloud9
2022-05-16 00:00:00,2356156,ENCE,2,1,Heroic
2022-05-16 00:00:00,2356158,G2,2,1,Outsiders
2022-05-16 00:00:00,2356155,Ninjas in Pyjamas,2,0,FURIA
2022-05-16 00:00:00,2356157,Vitality,2,1,BIG
2022-05-16 00:00:00,2356154,FaZe,2,1,Copenhagen Flames
2022-05-15 00:00:00,2356151,Natus Vincere,2,1,Ninjas in Pyjamas
2022-05-15 00:00:00,2356152,Vitality,2,0,Liquid
2022-05-15 00:00:00,2356147,FaZe,16,8,Cloud9
2022-05-15 00:00:00,2356149,FURIA,16,10,BIG
2022-05-15 00:00:00,2356146,Heroic,19,17,G2
2022-05-15 00:00:00,2356148,ENCE,16,8,Outsiders
2022-05-14 00:00:00,2356141,Ninjas in Pyjamas,16,14,Cloud9
2022-05-14 00:00:00,2356140,Natus Vincere,16,8,BIG
2022-05-14 00:00:00,2356144,FURIA,16,9,Liquid
2022-05-14 00:00:00,2356139,Copenhagen Flames,16,8,ENCE
2022-05-14 00:00:00,2356142,Outsiders,16,8,Vitality
2022-05-14 00:00:00,2356133,Natus Vincere,19,17,G2
2022-05-14 00:00:00,2356132,ENCE,16,8,FaZe
2022-05-14 00:00:00,2356135,Cloud9,16,12,Outsiders
2022-05-14 00:00:00,2356131,Ninjas in Pyjamas,16,4,Vitality
2022-05-14 00:00:00,2356130,Heroic,16,11,Liquid
2022-05-12 00:00:00,2356127,Liquid,2,0,Astralis
2022-05-10 00:00:00,2356118,G2,2,1,ENCE
2022-05-09 00:00:00,2356108,Vitality,16,8,Astralis
2022-05-09 00:00:00,2356107,ENCE,16,6,Outsiders
2022-05-09 00:00:00,2356098,G2,16,6,Liquid
2022-05-04 00:00:00,2356051,MOUZ,2,0,BIG
2022-05-04 00:00:00,2356049,Entropiq,2,1,BIG
2022-05-04 00:00:00,2356050,MOUZ,2,0,Copenhagen Flames
2022-05-03 00:00:00,2356044,BIG,2,1,MOUZ
2022-05-02 00:00:00,2356043,Entropiq,2,1,Copenhagen Flames
2022-05-02 00:00:00,2356041,MOUZ,2,0,Movistar Riders
2022-05-02 00:00:00,2356040,Entropiq,2,0,fnatic
2022-05-01 00:00:00,2355780,ENCE,2,1,Astralis
2022-04-30 00:00:00,2355779,Astralis,2,0,Ninjas in Pyjamas
2022-04-29 00:00:00,2355778,ENCE,2,1,Heroic
2022-04-28 00:00:00,2355776,Astralis,2,0,Movistar Riders
2022-04-27 00:00:00,2355774,ENCE,2,1,Copenhagen Flames
2022-04-24 00:00:00,2355826,Ninjas in Pyjamas,2,1,ENCE
2022-04-23 00:00:00,2355821,G2,2,1,Astralis
2022-04-22 00:00:00,2355815,Copenhagen Flames,2,0,Ninjas in Pyjamas
2022-04-22 00:00:00,2355813,Players,2,1,Astralis
2022-04-21 00:00:00,2355807,Astralis,16,11,ENCE
2022-04-20 00:00:00,2355754,Vitality,2,1,MOUZ
2022-04-19 00:00:00,2355752,FaZe,2,0,MOUZ
2022-04-19 00:00:00,2355750,Natus Vincere,2,0,Vitality
2022-04-18 00:00:00,2355746,BIG,2,0,FaZe
2022-04-18 00:00:00,2355744,Heroic,2,1,Natus Vincere
2022-04-18 00:00:00,2355742,MOUZ,16,12,Outsiders
2022-04-17 00:00:00,2355738,BIG,16,8,Outsiders
2022-04-17 00:00:00,2355736,Natus Vincere,16,5,OG
2022-04-17 00:00:00,2355734,Heroic,16,9,fnatic
2022-04-17 00:00:00,2355732,FaZe,16,14,Vitality
2022-04-17 00:00:00,2355727,OG,16,12,MOUZ
2022-04-10 00:00:00,2354989,FaZe,3,1,ENCE
2022-04-09 00:00:00,2354988,FaZe,2,0,FURIA
2022-04-09 00:00:00,2354987,ENCE,2,0,Ninjas in Pyjamas
2022-04-08 00:00:00,2354986,FaZe,2,0,Natus Vincere
2022-04-08 00:00:00,2354985,FURIA,2,1,Astralis
2022-04-07 00:00:00,2354983,ENCE,2,1,Movistar Riders
2022-04-06 00:00:00,2354981,Astralis,2,1,Entropiq
2022-04-05 00:00:00,2354980,FaZe,2,1,Players
2022-04-05 00:00:00,2354979,ENCE,2,0,fnatic
2022-04-03 00:00:00,2354583,Natus Vincere,2,0,Heroic
2022-04-02 00:00:00,2354582,Natus Vincere,2,1,Astralis
2022-03-31 00:00:00,2354575,Heroic,2,1,Astralis
2022-03-29 00:00:00,2355469,SKADE,2,0,Copenhagen Flames
2022-03-28 00:00:00,2355456,SKADE,2,0,Vitality
2022-03-28 00:00:00,2355455,Copenhagen Flames,2,0,ENCE
2022-03-26 00:00:00,2355435,HEET,19,16,fnatic
2022-03-26 00:00:00,2355433,ENCE,16,12,fnatic
2022-03-26 00:00:00,2355356,fnatic,16,11,HEET
2022-03-25 00:00:00,2354562,Players,2,0,BIG
2022-03-20 00:00:00,2354554,FaZe,2,1,FURIA
2022-03-20 00:00:00,2354553,Vitality,2,0,Outsiders
2022-03-19 00:00:00,2354552,FaZe,2,0,Vitality
2022-03-19 00:00:00,2354550,FURIA,2,1,ENCE
2022-03-18 00:00:00,2354548,ENCE,2,0,Outsiders
2022-03-18 00:00:00,2354547,FURIA,2,1,Vitality
2022-03-17 00:00:00,2354546,Outsiders,2,0,FaZe
2022-03-17 00:00:00,2354544,ENCE,2,0,Vitality
2022-03-17 00:00:00,2355158,K23,2,1,Copenhagen Flames
2022-03-16 00:00:00,2354543,FURIA,2,1,Outsiders
2022-03-16 00:00:00,2355162,Heroic,2,0,Copenhagen Flames
2022-03-16 00:00:00,2354542,ENCE,2,1,FaZe
2022-03-16 00:00:00,2355157,Copenhagen Flames,2,0,SKADE
2022-03-13 00:00:00,2354538,G2,2,0,Ninjas in Pyjamas
2022-03-13 00:00:00,2354537,Entropiq,2,1,G2
2022-03-11 00:00:00,2354532,Ninjas in Pyjamas,2,1,MOUZ
2022-03-10 00:00:00,2354530,Ninjas in Pyjamas,2,0,Entropiq
2022-03-10 00:00:00,2354529,MOUZ,2,0,G2
2022-03-09 00:00:00,2354527,Entropiq,2,0,MOUZ
2022-03-04 00:00:00,2354867,ENCE,2,0,Entropiq
2022-02-27 00:00:00,2354404,FaZe,3,0,G2
2022-02-26 00:00:00,2354403,FaZe,2,0,Heroic
2022-02-26 00:00:00,2354402,G2,2,0,Natus Vincere
2022-02-25 00:00:00,2354401,FaZe,2,0,Gambit
2022-02-25 00:00:00,2354400,G2,2,0,Virtus.pro
2022-02-24 00:00:00,2354511,Entropiq,1,0,ECSTATIC
2022-02-20 00:00:00,2354399,Natus Vincere,2,1,FaZe
2022-02-20 00:00:00,2354398,G2,2,1,Astralis
2022-02-20 00:00:00,2354396,Gambit,2,0,Ninjas in Pyjamas
2022-02-20 00:00:00,2354397,Heroic,2,0,Virtus.pro
2022-02-20 00:00:00,2354395,G2,2,1,FURIA
2022-02-20 00:00:00,2354394,Astralis,2,1,fnatic
2022-02-19 00:00:00,2354393,Gambit,2,0,Vitality
2022-02-19 00:00:00,2354391,FaZe,2,1,fnatic
2022-02-19 00:00:00,2354390,Natus Vincere,2,0,FURIA
2022-02-18 00:00:00,2354387,Gambit,2,1,Copenhagen Flames
2022-02-18 00:00:00,2354386,Virtus.pro,2,1,Ninjas in Pyjamas
2022-02-18 00:00:00,2354384,Heroic,2,0,Vitality
2022-02-18 00:00:00,2354383,fnatic,2,1,G2
2022-02-17 00:00:00,2354381,FURIA,2,0,Astralis
2022-02-17 00:00:00,2354379,Ninjas in Pyjamas,2,1,Gambit
2022-02-17 00:00:00,2354377,Heroic,2,1,OG
2022-02-17 00:00:00,2354376,Virtus.pro,2,0,Copenhagen Flames
2022-02-16 00:00:00,2354347,fnatic,2,1,BIG
2022-02-15 00:00:00,2354342,Astralis,2,1,BIG
2022-02-15 00:00:00,2354339,Copenhagen Flames,2,0,Ninjas in Pyjamas
2022-02-15 00:00:00,2354332,Copenhagen Flames,16,7,fnatic
2022-02-09 00:00:00,2354328,HEET,2,1,Copenhagen Flames
2022-02-06 00:00:00,2353993,BIG,2,0,Astralis
2022-02-06 00:00:00,2353992,Natus Vincere,2,0,Ninjas in Pyjamas
2022-02-06 00:00:00,2353990,FaZe,2,1,BIG
2022-02-05 00:00:00,2353989,OG,2,1,Ninjas in Pyjamas
2022-02-05 00:00:00,2353988,Vitality,2,1,G2
2022-02-04 00:00:00,2353987,BIG,2,0,Astralis
2022-02-04 00:00:00,2353986,Ninjas in Pyjamas,2,1,Natus Vincere
2022-02-02 00:00:00,2354222,K23,2,0,Copenhagen Flames
2022-02-01 00:00:00,2354191,K23,2,1,Heroic
2022-02-01 00:00:00,2354190,Copenhagen Flames,2,1,Eternal Fire
2022-01-31 00:00:00,2353981,FaZe,16,10,Vitality
2022-01-30 00:00:00,2353978,Vitality,19,15,FaZe
2022-01-29 00:00:00,2353977,OG,16,8,Astralis
2022-01-29 00:00:00,2353975,Astralis,19,17,Natus Vincere
2022-01-29 00:00:00,2353967,OG,16,8,Astralis
2022-01-28 00:00:00,2353973,G2,22,19,Ninjas in Pyjamas
2022-01-28 00:00:00,2353972,Ninjas in Pyjamas,16,9,BIG
2022-01-28 00:00:00,2353970,G2,16,6,Ninjas in Pyjamas
2022-01-28 00:00:00,2353965,Ninjas in Pyjamas,16,12,BIG
2022-01-25 00:00:00,2354026,K23,2,1,ECSTATIC
2022-01-24 00:00:00,2353963,Gambit,2,0,Entropiq
2022-01-24 00:00:00,2353962,Entropiq,2,1,BIG
2022-01-23 00:00:00,2353961,Gambit,2,0,BIG
2022-01-23 00:00:00,2353960,Entropiq,2,1,ECSTATIC
2022-01-22 00:00:00,2353959,Entropiq,2,1,Astralis
2022-01-21 00:00:00,2353956,Gambit,2,1,Entropiq
2022-01-20 00:00:00,2353955,Astralis,2,1,fnatic
2022-01-19 00:00:00,2353952,BIG,2,1,fnatic
2022-01-18 00:00:00,2353950,Entropiq,2,0,ECSTATIC
