date,id,team1,team2,score1,score2
2198232,2198232,mousesports,ALTERNATE aTTaX,16,7
2198646,2198646,NIP,CPH Wolves,16,7
2199347,2199347,n!faculty,ALTERNATE aTTaX,0,2
2199933,2199933,ALTERNATE aTTaX,fnatic,14,16
2199936,2199936,n!faculty,mousesports,7,16
2200369,2200369,NIP,ESC,16,1
2201054,2201054,ESC,fnatic,16,9
2201059,2201059,n!faculty,fnatic,14,16
2201677,2201677,mousesports,fnatic,4,16
2202479,2202479,ESC,3DMAX,16,2
2202942,2202942,NIP,ESC,2,0
2205371,2205371,Virtus.pro,ESC,1,2
2206372,2206372,ESC,Virtus.pro,2,0
2209322,2209322,3DMAX,k1ck,2,0
2211594,2211594,Virtus.pro,mousesports,16,8
2213055,2213055,ESC,mousesports,16,9
2213216,2213216,fnatic,3DMAX,16,3
2213224,2213224,VeryGames,Virtus.pro,16,9
2213787,2213787,VeryGames,fnatic,16,8
2213789,2213789,Virtus.pro,n!faculty,16,11
2214999,2214999,NIP,Virtus.pro,16,10
2215710,2215710,fnatic,mousesports,16,9
2215711,2215711,ESC,n!faculty,16,9
2216041,2216041,VeryGames,mousesports,16,2
2216448,2216448,n!faculty,fnatic,16,6
2217613,2217613,n!faculty,mousesports,16,12
2217729,2217729,Virtus.pro,ESC,25,21
2218118,2218118,fnatic,Tricked,16,1
2218394,2218394,NIP,fnatic,16,3
2218395,2218395,n!faculty,VeryGames,19,17
2219076,2219076,VeryGames,fnatic,16,6
2219077,2219077,mousesports,Virtus.pro,16,4
2220243,2220243,VeryGames,Virtus.pro,16,11
2220244,2220244,fnatic,mousesports,16,13
2220521,2220521,NIP,VeryGames,16,13
2220833,2220833,NIP,n!faculty,16,2
2220843,2220843,NIP,Natus Vincere,16,9
2221099,2221099,VeryGames,mousesports,16,6
2221100,2221100,Virtus.pro,fnatic,16,6
2222864,2222864,Virtus.pro,VeryGames,2,0
2223086,2223086,NIP,mousesports,16,5
2223739,2223739,NIP,Virtus.pro,2,0
2225052,2225052,n!faculty,VeryGames,16,12
2225075,2225075,NIP,Virtus.pro,16,4
2225363,2225363,ESC,Virtus.pro,16,14
2225526,2225526,VeryGames,ESC,16,11
2225741,2225741,k1ck,ESC,16,11
2225764,2225764,k1ck,n!faculty,9,16
2225771,2225771,NIP,ALTERNATE aTTaX,16,9
2225792,2225792,Virtus.pro,mousesports,16,13
2225805,2225805,Natus Vincere,ESC,16,9
2225809,2225809,NIP,n!faculty,12,16
2226076,2226076,n!faculty,Epsilon,0,2
2226490,2226490,fnatic,CPH Wolves,2,0
2226683,2226683,fnatic,CPH Wolves,11,16
2226737,2226737,ALTERNATE aTTaX,3DMAX,16,13
2227044,2227044,ALTERNATE aTTaX,fnatic,16,7
2227283,2227283,NIP,mousesports,16,7
2227302,2227302,ESC,3DMAX,16,1
2227307,2227307,NIP,ESC,16,7
2227336,2227336,VeryGames,ESC,16,3
2227817,2227817,Epsilon,k1ck,21,17
2227847,2227847,NIP,ALTERNATE aTTaX,16,5
2227851,2227851,n!faculty,Epsilon,9,16
2227867,2227867,NIP,3DMAX,16,6
2227902,2227902,ESC,fnatic,16,8
2228145,2228145,NIP,Epsilon,2,0
2228266,2228266,VeryGames,ALTERNATE aTTaX,15,15
2228272,2228272,Natus Vincere,n!faculty,16,4
2228274,2228274,LDLC,3DMAX,16,14
2228275,2228275,ESC,Natus Vincere,15,15
2228280,2228280,n!faculty,ESC,16,14
2228803,2228803,ESC,3DMAX,16,12
2228903,2228903,ESC,LDLC,2,0
2228995,2228995,NIP,ESC,2,0
2228997,2228997,Natus Vincere,VeryGames,1,2
2229159,2229159,VeryGames,ESC,2,1
2229713,2229713,Virtus.pro,n!faculty,16,12
2229864,2229864,Epsilon,fnatic,8,16
2229926,2229926,LDLC,VeryGames,16,10
2229934,2229934,n!faculty,fnatic,8,16
2229953,2229953,fnatic,k1ck,16,9
2229997,2229997,NIP,ALTERNATE aTTaX,16,8
2230225,2230225,fnatic,LDLC,2,1
2230758,2230758,ALTERNATE aTTaX,ESC,16,6
2230759,2230759,mousesports,Virtus.pro,16,13
2230950,2230950,NIP,mousesports,16,6
2231418,2231418,Natus Vincere,mousesports,16,11
2231593,2231593,mousesports,n!faculty,16,14
2231872,2231872,NIP,ESC,16,9
2232574,2232574,mousesports,3DMAX,16,14
2233161,2233161,fnatic,mousesports,16,5
2233217,2233217,ALTERNATE aTTaX,mousesports,16,7
2233470,2233470,Virtus.pro,3DMAX,16,3
2233666,2233666,mousesports,VeryGames,12,16
2233699,2233699,NIP,ESC,12,16
2233703,2233703,k1ck,VeryGames,11,16
2233735,2233735,LDLC,Natus Vincere,16,4
2233745,2233745,ESC,ALTERNATE aTTaX,16,7
2233751,2233751,LDLC,fnatic,16,7
2233758,2233758,ESC,VeryGames,3,16
2234003,2234003,VeryGames,LDLC,2,0
2234062,2234062,mousesports,ESC,16,14
2234064,2234064,Natus Vincere,3DMAX,1,0
2234066,2234066,NIP,Virtus.pro,16,5
2234891,2234891,ALTERNATE aTTaX,mousesports,16,14
2235008,2235008,NIP,ALTERNATE aTTaX,16,13
2235023,2235023,fnatic,Natus Vincere,16,13
2235026,2235026,fnatic,Virtus.pro,15,15
2235339,2235339,k1ck,LDLC,16,13
2235345,2235345,ESC,k1ck,16,10
2235350,2235350,Natus Vincere,NIP,16,12
2235377,2235377,ESC,LDLC,16,14
2235407,2235407,Virtus.pro,ALTERNATE aTTaX,16,2
2235632,2235632,NIP,fnatic,16,14
2235634,2235634,Natus Vincere,ALTERNATE aTTaX,16,6
2235635,2235635,Virtus.pro,Natus Vincere,16,12
2235636,2235636,NIP,3DMAX,16,7
2236040,2236040,NIP,Natus Vincere,16,5
2236041,2236041,ESC,Virtus.pro,9,16
2236272,2236272,Natus Vincere,ESC,5,16
2236273,2236273,NIP,Virtus.pro,16,12
2236329,2236329,Virtus.pro,ESC,16,9
2236355,2236355,NIP,Virtus.pro,16,10
2236476,2236476,fnatic,3DMAX,16,8
2236783,2236783,n!faculty,ALTERNATE aTTaX,16,14
2237796,2237796,fnatic,Epsilon,2,1
2237803,2237803,ESC,n!faculty,2,0
2237814,2237814,Natus Vincere,Epsilon,1,2
2237824,2237824,mousesports,ESC,2,0
2237830,2237830,VeryGames,3DMAX,2,0
2237840,2237840,mousesports,n!faculty,2,0
2238045,2238045,Natus Vincere,fnatic,2,1
2238080,2238080,NIP,CPH Wolves,2,0
2238083,2238083,Virtus.pro,ESC,2,0
2238089,2238089,n!faculty,3DMAX,2,1
2238132,2238132,NIP,VeryGames,2,0
2238215,2238215,Epsilon,ESC,16,14
2238239,2238239,NIP,fnatic,2,0
2238269,2238269,VeryGames,Epsilon,16,5
2238306,2238306,Virtus.pro,NIP,0,2
2238884,2238884,n!faculty,3DMAX,1,0
2238887,2238887,NIP,ESC,2,0
2238888,2238888,Natus Vincere,Virtus.pro,0,2
2239121,2239121,VeryGames,fnatic,16,9
2239295,2239295,VeryGames,k1ck,16,6
2239491,2239491,ESC,Natus Vincere,0,2
2239492,2239492,NIP,Virtus.pro,0,2
2239641,2239641,fnatic,Reason,15,15
2239645,2239645,fnatic,Dignitas,16,13
2239647,2239647,Reason,Dignitas,16,13
2239707,2239707,NIP,Natus Vincere,2,0
2239909,2239909,Virtus.pro,NIP,2,0
2240143,2240143,VeryGames,fnatic,2,0
2240524,2240524,NIP,k1ck,2,0
2241242,2241242,NIP,VeryGames,2,0
2241395,2241395,fnatic,NIP,0,2
2241781,2241781,NIP,Denial,2,0
2242215,2242215,VeryGames,ESC,2,0
2242218,2242218,Denial,n!faculty,1,2
2242326,2242326,NIP,VeryGames,2,0
2242359,2242359,ESC,n!faculty,2,0
2243828,2243828,CPH Wolves,ENCE,2,0
2243862,2243862,Virtus.pro,Epsilon,16,4
2244542,2244542,CPH Wolves,fnatic,16,6
2245167,2245167,Natus Vincere,Virtus.pro,2,1
2245543,2245543,LDLC,Virtus.pro,16,11
2245546,2245546,Natus Vincere,Epsilon,16,8
2245980,2245980,ALTERNATE aTTaX,n!faculty,0,2
2246207,2246207,fnatic,CPH Wolves,1,2
2246243,2246243,mousesports,ALTERNATE aTTaX,2,0
2246294,2246294,CPH Wolves,fnatic,19,16
2246678,2246678,NIP,Epsilon,16,2
2246679,2246679,LDLC,n!faculty,16,6
2246684,2246684,ESC,k1ck,16,14
2246701,2246701,NIP,ESC,16,6
2246702,2246702,VeryGames,LDLC,13,16
2246731,2246731,NIP,CPH Wolves,8,16
2246734,2246734,3DMAX,ALTERNATE aTTaX,16,0
2246831,2246831,CPH Wolves,LDLC,2,0
2246839,2246839,3DMAX,n!faculty,16,11
2246929,2246929,Virtus.pro,LDLC,16,8
2247163,2247163,CPH Wolves,n!faculty,15,15
2247364,2247364,Virtus.pro,fnatic,16,12
2247372,2247372,CPH Wolves,Epsilon,16,4
2247373,2247373,Virtus.pro,CPH Wolves,16,13
2247422,2247422,Epsilon,n!faculty,16,10
2247465,2247465,Virtus.pro,n!faculty,16,3
2247607,2247607,Virtus.pro,k1ck,16,12
2247630,2247630,Natus Vincere,VeryGames,21,17
2247644,2247644,CPH Wolves,fnatic,14,16
2247661,2247661,fnatic,Natus Vincere,16,4
2247782,2247782,ESC,fnatic,16,4
2247823,2247823,Epsilon,Virtus.pro,16,11
2248191,2248191,LDLC,VeryGames,2,0
2248226,2248226,NIP,n!faculty,16,8
2248485,2248485,NIP,fnatic,16,8
2248486,2248486,LDLC,ESC,16,11
2248490,2248490,NIP,CPH Wolves,16,2
2248491,2248491,fnatic,CPH Wolves,16,11
2248492,2248492,Epsilon,fnatic,16,9
2248498,2248498,NIP,fnatic,16,3
2248632,2248632,LDLC,fnatic,16,7
2248732,2248732,Virtus.pro,Epsilon,21,18
2248736,2248736,3DMAX,k1ck,16,13
2248757,2248757,n!faculty,ALTERNATE aTTaX,16,10
2248760,2248760,LDLC,3DMAX,16,11
2248765,2248765,3DMAX,ESC,7,16
2248767,2248767,CPH Wolves,Virtus.pro,10,16
2248776,2248776,LDLC,n!faculty,16,8
2248780,2248780,Virtus.pro,VeryGames,14,16
2248783,2248783,NIP,ESC,16,12
2248784,2248784,Natus Vincere,fnatic,16,5
2248789,2248789,LDLC,Natus Vincere,21,18
2248795,2248795,VeryGames,NIP,18,21
2248797,2248797,k1ck,Epsilon,16,9
2248809,2248809,fnatic,ESC,16,14
2248819,2248819,n!faculty,ALTERNATE aTTaX,16,9
2248820,2248820,ESC,Natus Vincere,16,11
2248913,2248913,fnatic,3DMAX,16,7
2248942,2248942,NIP,LDLC,2,0
2248950,2248950,LDLC,k1ck,16,10
2248951,2248951,fnatic,k1ck,16,13
2249074,2249074,NIP,3DMAX,16,6
2249084,2249084,NIP,Natus Vincere,2,0
2249109,2249109,NIP,Virtus.pro,2,0
2249115,2249115,k1ck,n!faculty,16,9
2249321,2249321,NIP,ESC,16,1
2249323,2249323,NIP,LDLC,16,8
2249443,2249443,Virtus.pro,ESC,15,15
2249449,2249449,LDLC,Natus Vincere,1,0
2249451,2249451,VeryGames,Virtus.pro,19,16
2249580,2249580,k1ck,ESC,16,10
2249596,2249596,NIP,k1ck,16,4
2249613,2249613,NIP,ALTERNATE aTTaX,16,1
2249615,2249615,3DMAX,Natus Vincere,16,13
2249616,2249616,Natus Vincere,ALTERNATE aTTaX,16,13
2249675,2249675,ESC,LDLC,16,14
2249726,2249726,VeryGames,n!faculty,16,7
2249756,2249756,NIP,Epsilon,16,9
2249836,2249836,3DMAX,3DMAX,21,17
2249860,2249860,Epsilon,CPH Wolves,11,16
2249870,2249870,ALTERNATE aTTaX,Reason,13,16
2249872,2249872,Virtus.pro,VeryGames,16,14
2249873,2249873,LDLC,3DMAX,16,3
2249882,2249882,LDLC,n!faculty,16,10
2249884,2249884,Reason,CPH Wolves,4,16
2249901,2249901,LDLC,ESC,16,14
2249902,2249902,Virtus.pro,CPH Wolves,10,16
2250031,2250031,ALTERNATE aTTaX,k1ck,0,1
2250033,2250033,3DMAX,Virtus.pro,16,8
2250039,2250039,LDLC,CPH Wolves,2,0
2250048,2250048,Virtus.pro,k1ck,15,15
2250114,2250114,Virtus.pro,LDLC,1,2
2250173,2250173,Virtus.pro,k1ck,16,5
2250174,2250174,LDLC,k1ck,16,9
2250180,2250180,k1ck,Natus Vincere,16,10
2250271,2250271,Natus Vincere,n!faculty,16,4
2250563,2250563,NIP,Virtus.pro,16,3
2250689,2250689,CPH Wolves,Natus Vincere,16,6
2250692,2250692,ESC,Natus Vincere,15,15
2250694,2250694,CPH Wolves,ESC,16,14
2250698,2250698,Epsilon,LDLC,0,2
2250707,2250707,NIP,n!faculty,16,2
2250709,2250709,3DMAX,k1ck,16,4
2250710,2250710,fnatic,ALTERNATE aTTaX,16,12
2250712,2250712,NIP,3DMAX,16,14
2250715,2250715,VeryGames,n!faculty,16,13
2250716,2250716,Virtus.pro,VeryGames,15,15
2250718,2250718,Virtus.pro,n!faculty,16,9
2250720,2250720,fnatic,NIP,16,8
2250727,2250727,LDLC,ALTERNATE aTTaX,15,15
2250864,2250864,3DMAX,ESC,16,6
2250882,2250882,LDLC,Natus Vincere,16,10
2251015,2251015,LDLC,NIP,2,0
2251017,2251017,LDLC,n!faculty,16,9
2251151,2251151,NIP,ESC,16,13
2251152,2251152,Virtus.pro,n!faculty,16,4
2251154,2251154,NIP,k1ck,16,7
2251300,2251300,CPH Wolves,3DMAX,16,7
2251309,2251309,LDLC,ALTERNATE aTTaX,16,1
2251491,2251491,Epsilon,3DMAX,16,5
2251596,2251596,NIP,Epsilon,2,1
2251638,2251638,fnatic,ALTERNATE aTTaX,16,8
2251640,2251640,Virtus.pro,ESC,16,14
2251673,2251673,LDLC,ESC,2,0
2251675,2251675,CPH Wolves,NIP,1,2
2251703,2251703,Virtus.pro,CPH Wolves,13,10
2251718,2251718,Epsilon,LDLC,2,1
2251736,2251736,Virtus.pro,NIP,0,2
2251748,2251748,Epsilon,NIP,0,2
2251790,2251790,n!faculty,k1ck,16,0
2252006,2252006,Natus Vincere,fnatic,16,5
2252038,2252038,fnatic,ESC,16,12
2252040,2252040,VeryGames,fnatic,16,11
2252041,2252041,NIP,VeryGames,19,17
2252144,2252144,fnatic,Natus Vincere,16,11
2252147,2252147,ESC,k1ck,16,7
2252149,2252149,fnatic,k1ck,16,13
2252153,2252153,VeryGames,ESC,16,11
2252500,2252500,ESC,ALTERNATE aTTaX,16,4
2252501,2252501,ESC,n!faculty,15,15
2252504,2252504,VeryGames,CPH Wolves,16,5
2252506,2252506,LDLC,CPH Wolves,16,12
2252507,2252507,LDLC,fnatic,1,0
2252625,2252625,LDLC,Epsilon,16,14
2252637,2252637,Epsilon,ESC,16,9
2252661,2252661,NIP,ESC,22,20
2252662,2252662,Virtus.pro,CPH Wolves,1,0
2252668,2252668,Virtus.pro,ALTERNATE aTTaX,16,7
2252764,2252764,Natus Vincere,k1ck,16,5
2252766,2252766,fnatic,n!faculty,16,5
2252767,2252767,Virtus.pro,Natus Vincere,16,13
2252768,2252768,NIP,Natus Vincere,16,14
2252791,2252791,NIP,Virtus.pro,16,6
2252889,2252889,Natus Vincere,Epsilon,16,10
2252890,2252890,Natus Vincere,ESC,16,10
2252895,2252895,NIP,k1ck,16,4
2252896,2252896,Virtus.pro,Epsilon,16,10
2252897,2252897,VeryGames,LDLC,1,0
2252903,2252903,fnatic,Virtus.pro,16,11
2253103,2253103,LDLC,fnatic,0,2
2253104,2253104,CPH Wolves,VeryGames,1,2
2253106,2253106,ESC,Virtus.pro,0,2
2253344,2253344,VeryGames,fnatic,2,0
2253370,2253370,NIP,Virtus.pro,1,2
2253483,2253483,VeryGames,Virtus.pro,2,0
2253623,2253623,ALTERNATE aTTaX,n!faculty,16,11
2253660,2253660,NIP,Natus Vincere,16,7
2253744,2253744,Epsilon,n!faculty,16,8
2253745,2253745,Epsilon,n!faculty,16,11
2253748,2253748,VeryGames,Virtus.pro,16,6
2253749,2253749,Virtus.pro,n!faculty,16,5
2253776,2253776,ESC,k1ck,16,3
2253777,2253777,Natus Vincere,k1ck,16,9
2253785,2253785,Virtus.pro,Epsilon,19,16
2253810,2253810,NIP,Natus Vincere,2,1
2253811,2253811,ESC,Virtus.pro,0,2
2253903,2253903,VeryGames,Epsilon,16,0
2253904,2253904,VeryGames,Epsilon,16,3
2254022,2254022,Natus Vincere,ESC,2,0
2254023,2254023,NIP,Virtus.pro,2,1
2254080,2254080,Virtus.pro,Natus Vincere,1,2
2254087,2254087,NIP,Natus Vincere,3,2
2254105,2254105,VeryGames,n!faculty,16,14
2254108,2254108,n!faculty,Natus Vincere,1,0
2254110,2254110,VeryGames,Natus Vincere,16,4
2254218,2254218,Virtus.pro,k1ck,1,0
2254461,2254461,Virtus.pro,Natus Vincere,19,17
2256012,2256012,n!faculty,k1ck,16,10
2256104,2256104,NIP,n!faculty,16,4
2259622,2259622,fnatic,ALTERNATE aTTaX,2,0
2262161,2262161,VeryGames,n!faculty,2,0
2262229,2262229,VeryGames,fnatic,2,0
2262749,2262749,CPH Wolves,fnatic,16,14
2262977,2262977,fnatic,LDLC,16,8
2263299,2263299,VeryGames,CPH Wolves,2,0
2263571,2263571,fnatic,3DMAX,16,5
2264668,2264668,VeryGames,fnatic,2,0
2264934,2264934,NIP,Complexity,2,1
2265125,2265125,ALTERNATE aTTaX,k1ck,1,0
2265674,2265674,LGB,Playing Ducks,16,14
2265725,2265725,n!faculty,LGB,0,2
2266299,2266299,fnatic,n!faculty,16,11
2266855,2266855,n!faculty,LGB,16,11
2266895,2266895,NIP,n!faculty,16,11
2267175,2267175,n!faculty,CPH Wolves,16,5
2267177,2267177,LGB,CPH Wolves,16,14
2267178,2267178,NIP,LGB,16,14
2267188,2267188,n!faculty,ESC,16,13
2267333,2267333,NIP,ESC,16,12
2267463,2267463,ESC,LGB,16,14
2267646,2267646,CPH Wolves,ESC,16,6
2267647,2267647,NIP,CPH Wolves,16,10
2267842,2267842,NIP,ALTERNATE aTTaX,16,6
2267843,2267843,NIP,ESC,16,10
2268003,2268003,NIP,n!faculty,16,13
2268004,2268004,ALTERNATE aTTaX,n!faculty,16,11
2268088,2268088,k1ck,fnatic,16,11
2268089,2268089,k1ck,3DMAX,16,14
2268328,2268328,Playing Ducks,Natus Vincere,21,17
2268344,2268344,n!faculty,NIP,8,16
2268360,2268360,VeryGames,Playing Ducks,16,13
2268372,2268372,fnatic,NIP,7,16
2268375,2268375,VeryGames,CPH Wolves,14,16
2268462,2268462,VeryGames,3DMAX,16,11
2268464,2268464,ALTERNATE aTTaX,3DMAX,16,9
2268521,2268521,VeryGames,k1ck,16,2
2268522,2268522,VeryGames,3DMAX,16,3
2268523,2268523,Natus Vincere,fnatic,16,7
2268524,2268524,Natus Vincere,3DMAX,16,1
2268526,2268526,fnatic,3DMAX,16,7
2268533,2268533,fnatic,ALTERNATE aTTaX,16,8
2268535,2268535,ESC,k1ck,16,1
2268545,2268545,CPH Wolves,NIP,1,2
2268744,2268744,VeryGames,Natus Vincere,15,15
2268745,2268745,Natus Vincere,3DMAX,15,15
2268746,2268746,Natus Vincere,fnatic,16,14
2268752,2268752,VeryGames,fnatic,15,15
2268756,2268756,ALTERNATE aTTaX,Playing Ducks,1,2
2269122,2269122,VeryGames,Natus Vincere,15,15
2269123,2269123,k1ck,Natus Vincere,16,5
2269128,2269128,k1ck,Natus Vincere,16,11
2269320,2269320,ESC,3DMAX,16,2
2269321,2269321,Natus Vincere,ALTERNATE aTTaX,16,14
2269356,2269356,ESC,n!faculty,16,4
2269416,2269416,NIP,fnatic,2,0
2269446,2269446,NIP,VeryGames,2,1
2269577,2269577,ESC,fnatic,16,10
2269578,2269578,NIP,ALTERNATE aTTaX,16,1
2269596,2269596,n!faculty,CPH Wolves,16,9
2269598,2269598,NIP,Natus Vincere,16,3
2269614,2269614,VeryGames,n!faculty,16,10
2269623,2269623,VeryGames,fnatic,16,5
2269777,2269777,NIP,VeryGames,2,0
2269795,2269795,NIP,3DMAX,15,15
2270208,2270208,NIP,fnatic,16,21
2270211,2270211,CPH Wolves,n!faculty,19,17
2270330,2270330,NIP,VeryGames,2,0
2270347,2270347,CPH Wolves,Natus Vincere,0,2
2270925,2270925,ALTERNATE aTTaX,VeryGames,16,10
2270941,2270941,NIP,ENCE,19,21
2270944,2270944,CPH Wolves,Natus Vincere,9,16
2270968,2270968,VeryGames,LGB,2,1
2270978,2270978,ALTERNATE aTTaX,VeryGames,16,13
2270979,2270979,ESC,ALTERNATE aTTaX,1,0
2271115,2271115,fnatic,ESC,16,11
2271213,2271213,LGB,Natus Vincere,2,1
2271355,2271355,NIP,VeryGames,16,8
2271368,2271368,ENCE,fnatic,1,2
2271373,2271373,n!faculty,k1ck,2,1
2271705,2271705,VeryGames,n!faculty,16,12
2271707,2271707,NIP,fnatic,16,7
2271710,2271710,VeryGames,ESC,16,6
2271836,2271836,NIP,Natus Vincere,16,12
2271847,2271847,3DMAX,k1ck,16,12
2271938,2271938,ESC,n!faculty,16,1
2271961,2271961,Natus Vincere,ENCE,16,9
2271997,2271997,ESC,CPH Wolves,6,16
2272041,2272041,fnatic,k1ck,16,14
2272046,2272046,k1ck,NIP,16,14
2272123,2272123,ESC,Natus Vincere,16,6
2272165,2272165,k1ck,n!faculty,16,12
2272166,2272166,VeryGames,k1ck,16,4
2272299,2272299,Natus Vincere,LGB,1,2
2272704,2272704,NIP,VeryGames,0,2
2272800,2272800,ESC,ENCE,16,10
2272854,2272854,VeryGames,ESC,16,6
2272877,2272877,ESC,ENCE,16,7
2272928,2272928,n!faculty,3DMAX,16,13
2272954,2272954,NIP,fnatic,16,12
2272968,2272968,NIP,n!faculty,2,1
2273426,2273426,Natus Vincere,ALTERNATE aTTaX,16,12
2273627,2273627,NIP,VeryGames,0,2
2273636,2273636,Natus Vincere,n!faculty,16,11
2273646,2273646,n!faculty,ALTERNATE aTTaX,16,5
2273772,2273772,NIP,fnatic,2,0
2273873,2273873,LGB,SK,15,15
2273949,2273949,SK,n!faculty,2,0
2273975,2273975,LGB,SK,2,1
2274415,2274415,LGB,fnatic,2,1
2274446,2274446,VeryGames,LGB,2,1
2274795,2274795,CPH Wolves,ENCE,16,6
2274896,2274896,ENCE,VeryGames,4,16
2274927,2274927,n!faculty,SK,1,0
2275016,2275016,n!faculty,Natus Vincere,16,13
2275017,2275017,VeryGames,Natus Vincere,16,11
2275018,2275018,CPH Wolves,n!faculty,16,9
2275138,2275138,VeryGames,SK,16,9
2275139,2275139,SK,Natus Vincere,28,24
2275146,2275146,SK,n!faculty,16,14
2275178,2275178,ALTERNATE aTTaX,mousesports,8,16
2275545,2275545,VeryGames,fnatic,21,19
2275546,2275546,CPH Wolves,n!faculty,16,9
2275548,2275548,NIP,mousesports,16,8
2275744,2275744,VeryGames,CPH Wolves,16,4
2275746,2275746,fnatic,n!faculty,16,12
2275767,2275767,CPH Wolves,fnatic,16,11
2275812,2275812,NIP,Natus Vincere,16,2
2275889,2275889,NIP,CPH Wolves,2,1
2275993,2275993,VeryGames,NIP,2,1
2276103,2276103,mousesports,3DMAX,16,21
2276120,2276120,LGB,ENCE,16,12
2276127,2276127,Playing Ducks,ALTERNATE aTTaX,16,9
2276150,2276150,3DMAX,Playing Ducks,16,14
2276306,2276306,NIP,ENCE,16,2
2276308,2276308,CPH Wolves,k1ck,16,8
2276318,2276318,fnatic,ALTERNATE aTTaX,16,2
2276325,2276325,Complexity,LGB,16,14
2276383,2276383,VeryGames,k1ck,16,2
2276384,2276384,CPH Wolves,VeryGames,16,13
2276570,2276570,fnatic,VeryGames,1,2
2276571,2276571,NIP,Complexity,2,0
2276641,2276641,VeryGames,NIP,2,0
2276941,2276941,SK,CPH Wolves,16,10
2276952,2276952,CPH Wolves,Natus Vincere,16,11
2277034,2277034,CPH Wolves,VeryGames,16,13
2277143,2277143,SK,ENCE,16,11
2277149,2277149,VeryGames,LGB,16,5
2277281,2277281,CPH Wolves,LGB,1,0
2277613,2277613,VeryGames,ENCE,16,6
2277654,2277654,ENCE,Natus Vincere,16,11
2277655,2277655,LGB,Natus Vincere,16,1
2277656,2277656,Natus Vincere,LGB,6,16
2277704,2277704,mousesports,LGB,16,14
2277716,2277716,LGB,k1ck,16,11
2277774,2277774,ENCE,n!faculty,2,16
2277814,2277814,LGB,n!faculty,16,4
2277830,2277830,mousesports,SK,2,1
2277846,2277846,VeryGames,n!faculty,16,7
2277871,2277871,mousesports,ALTERNATE aTTaX,16,12
2277943,2277943,CPH Wolves,Natus Vincere,1,0
2278125,2278125,mousesports,k1ck,16,13
2278163,2278163,VeryGames,n!faculty,16,4
2278168,2278168,CPH Wolves,ESC,16,12
2278174,2278174,ALTERNATE aTTaX,SK,22,18
2278219,2278219,ALTERNATE aTTaX,k1ck,16,9
2278254,2278254,NIP,LGB,16,9
2278257,2278257,mousesports,VeryGames,16,8
2278390,2278390,Reason,k1ck,16,10
2278470,2278470,LGB,Reason,2,1
2278597,2278597,SK,TYLOO,16,12
2278603,2278603,fnatic,TYLOO,16,4
2278607,2278607,fnatic,SK,16,13
2278699,2278699,VeryGames,SK,2,0
2278767,2278767,VeryGames,fnatic,2,0
2278835,2278835,n!faculty,Natus Vincere,10,16
2278936,2278936,mousesports,Playing Ducks,16,11
